,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
61,"Ambience Towers,Shaili Gardens, Sainikpuri,Hyderabad","In VK Enclave, Anantham this apartment is now available for rent. This North facing home is on the 1st floor & is over 1370 sqft.

Amenities like club house, kids play zone, well equipped gym, park & swimming pool gives you something to do in your free time. You are viewing the right home if you would prefer a house with rainwater harvesting. If you are looking for a home with generator for back up, intercom facility & security, this home is just right for you.
The house you are viewing is semi furnished and is available for rent at Rs.16,000. There is no home better for families in Yapral tha...Read more","16,000",3,1370,Flat, Semi Furnished ,Ambience Towers, Sainikpuri
62,"Police Colony, Kondapur,Hyderabad","Corner flat, good ventilation and view. Read more","25,000",3,1550,Flat, Semi Furnished ,Police Colony, Kondapur
63," Chamundeswari Heights,Kothaguda, Hyderabad","This Apartment offers spacious and modern lifestyle. Check out this Semi-furnished property available at an economical rent. Rent 3 BHK property in the heart of Hyderabad city.  Sprawling property available at affordable rent in Kothaguda. The property is on the floor number 1 in a building which has 5 floors. Monthly rent is Rs 30000. Contact for more information. No negotiation on security charges of Rs 50000. Your search for a spacious 1900 sq ft built up area property at an affordable price ends right here. Looking for 1600 sq ft (Carpet Area) property with big, spacious rooms? This is it....Read more","25,000",3,1900,Flat, Semi Furnished , Chamundeswari Heights, Kothaguda
64,"Domalguda, Himayath Nagar,Hyderabad",Only Hyderabad residents that also know Telugu language. Interested person should have to give police department clearance.Read more,"17,000",2,800,Independent, Semi Furnished ,Domalguda, Himayath Nagar
65,"Hmbs Colony, Kismatpur,Hyderabad","It is beautiful Unfurnished property. Rent 2 BHK near your office location. Shift to a beautiful, tailor-made Independent House without burdening your pocket. Affordable property available in Kismatpur at unbelievable prices. Check out now. The property is on floor number in a building with 1 floors. Affordable properties now on rent in Hyderabad. Property for rent available at an unbeatable price of Rs 9500. Security charges of Rs 18000 is applicable. Check out this 1200 sq ft built up area property, available at an affordable rent. Check out this 1150 sq ft (Carpet Area) property with spacio...Read more","9,500",2,1200,Independent, Unfurnished ,Hmbs Colony, Kismatpur
66,"Brindavan Colony, Toli Chowki,Hyderabad","Look out for Independent Floor at economical rent near your workplace. This 2 BHK property will let you live life king size. Best Semi-furnished property available for rent at an affordable price. Property for rent available in Tolichowki. The property is on floor number 1 in a building with 2 floors. Properties on rent in Hyderabad, contact for more information. Security charges of Rs 45000 is applicable. Rent of Rs 15000 excludes maintenance charges. Check out this affordable property with built up area of 1100 sq ft on rent. It is spacious for a family and this property has a total carpet a...Read more","15,000",2,1100,Independent, Semi Furnished ,Brindavan Colony, Toli Chowki
67,"Raghavendra Colony, Kondapur,Hyderabad",Check out this sprawling 2 BHK property available for rent. Semi-furnished property available near metro. Find Apartment on affordable rent near your office. World-class property available for rent in Hyderabad. Affordable rental house available in Kondapur. The property is on the floor number 1 in a building which has 4 floors. Monthly rent of Rs 18000 is applicable. Rs 38000 will be taken as security money. This spacious 1200 sq ft (Carpet Area) property is available at affordable rent. Rent this 1300 sq ft built up area property at an affordable price. All bedrooms have 2 bathroom attached....Read more,"18,000",2,1300,Flat, Semi Furnished ,Raghavendra Colony, Kondapur
68,"Mehdipatnam, Hyderabad","Rent this Independent House that matches your requirements and budget. Your search for 2 BHK property near your workplace is over. Check out this beautiful property available on rent. Neat and clean, this Semi-furnished property is just what you were looking for. Affordable rental property available in Mehdipatnam, check out now. Homes for rent available in Hyderabad. Rent of Rs 15000 excludes maintenance charges. No negotiation on security charges of Rs 30000. Check out this 1250 sq ft built up area property, available at an affordable rent. This property is ready to move in from 2022-01-01. ...Read more","15,000",2,1250,Independent, Semi Furnished ,Mehdipatnam, Mehdipatnam
69,"Sri durga apts,Janapriya Nagar, Hafeezpet,Hyderabad","Come forward to make this coveted address your home. This beautiful 2 BHK is available on rent now. Check out this beautifully designed Unfurnished property. Look out for Apartment at economical rent near your workplace. Mid-segment homes for rent now in Hyderabad. The property is on floor number 2 in a building with 4 floors. Affordable rental property available in Hafeezpet, check out now. Monthly rent of Rs 15000 is applicable. Affordable property on rent with only Rs 30000 as security charges. This property has a built up area of 1000 sq ft and is a perfect fit for your needs. 2 bathroom h...Read more","15,000",2,1000,Flat, Unfurnished ,Sri durga apts, Hafeezpet
70,"Dwaraka mai colony ,RN Reddy Colony, Meerpet,Hyderabad",This is for Hindu families,"9,000",2,1080,Independent, Semi Furnished ,Dwaraka mai colony , Meerpet
71,"Moghalpura, Hyderabad",This property which is a 2 BHK Independent Floor is located in the best part of the city. Rent this fabulous Semi-furnished property at an affordable price. Sprawling property available at affordable rent in Moghalpura. Budget properties on rent is now in Hyderabad. The property is on the floor number 1 in a building which has 4 floors. Rent value of Rs 20000 is expected. Security amount of Rs 75000 is fixed. Your dream 1100 sq ft (Carpet Area) property is now available at an affordable rent. This property has a built up area of 1200 sq ft and is a perfect fit for your needs. Your search for a...Read more,"20,000",2,1200,Independent, Semi Furnished ,Moghalpura, Moghalpura
72,"Prashant Hills, Rai Durg,Hyderabad","Semifurnished 3 BHK,3 balcony, 3 Bathrooms.Read more","35,000",6,1800,Independent, Semi Furnished ,Prashant Hills, Rai Durg
73,"Vijaya Nagar Colony, Kukatpally,Hyderabad","This Independent House offers spacious and modern lifestyle. Neat and clean, this Semi-furnished property is just what you were looking for. Rent 2 BHK property in the heart of Hyderabad city.  Affordable property available in Kukatpally at unbelievable prices. Check out now. Affordable property on rent with only Rs 75000 as security charges. The most affordable property in this location is now on rent for only Rs 25000. Check out this 1800 sq ft built up area property, available at an affordable rent. Looking for spacious home near your office? Check 22 photos of this property offering excell...Read more","25,000",2,1800,Independent, Semi Furnished ,Vijaya Nagar Colony, Kukatpally
74,"shri Guru Nilayam,Gachibowli, Hyderabad",This beautiful Apartment is a 1 BHK and Semi-furnished. Big and spacious affordable property available for rent at Plot No-1035 Siddiu Nagar. The property is on the floor number 2 in a building which has 5 floors. Mid-segment homes for rent now in Hyderabad. Affordable rental house available in Gachibowli. Amount of Rs 25000 will be collected from tenant as security charges. Rent value of Rs 13000 is expected. Your search for a spacious 500 sq ft built up area property at an affordable price ends right here. Property on rent near metro is available from 2021-02-24. Top flooring in 1 bathrooms....Read more,"13,000",1,500,Flat, Semi Furnished ,shri Guru Nilayam, Gachibowli
75,"Srinivasa Nagar, Ameerpet,Hyderabad"," in central location, close to Metro Station, Marble flooring, well maintainedRead more","25,000",3,1500,Flat, Semi Furnished ,Srinivasa Nagar, Ameerpet
76,"Mini mart,Bandlaguda, East Bahadurpura,Hyderabad","This beautiful Apartment is a 2 BHK and Semi-furnished. The property is on floor number 1 in a building with 5 floors. Luxury lifestyle in the heart of Hyderabad available now. Property for rent available at unbeatable price in Bahadurpura, check out now. No negotiation on security charges of Rs 50000. Property for rent available at an unbeatable price of Rs 14500. This property has a built up area of 1503 sq ft and is a perfect fit for your needs. It is available for lease from 2021-08-17. Beautiful, modern home available at affordable rent, check these 29 photographs. Best tiles in all 2 bat...Read more","14,500",2,1503,Flat, Semi Furnished ,Mini mart, East Bahadurpura
77,"RNR Fort View Towers,Srimallenagar Colony, Upparpally,Hyderabad",Best running for rental and with good community over here Read more,"30,000",3,1635,Flat, Semi Furnished ,RNR Fort View Towers, Upparpally
78,"Kamalapuri Colony, SriNagar Colony,Hyderabad","This spacious 2 BHK Independent House is Semi-furnished. House for rent available in Sri Nagar Colony. Luxury lifestyle in the heart of Hyderabad available now. Rs 50000 will be taken as security money. Amount of Rs 25000 to be paid as rent. Your search for a spacious 4500 sq ft built up area property at an affordable price ends right here. Looking for 1550 sq ft (Carpet Area) property with big, spacious rooms? This is it. Check out these 19 photos for this affordable property available on rent. Property on rent near metro is available from 2021-11-15. Spacious 2 bathroom for all rooms. City's...Read more","25,000",2,4500,Independent, Semi Furnished ,Kamalapuri Colony, SriNagar Colony
79,"Krishna Nagar, Yousufguda,Hyderabad","Check out this Independent Floor available for rent in Yousufguda in Hyderabad. It is a 1 BHK unit that comes at an affordable rent, with modern features and premium amenities to suit your lifestyle needs. The unit is Furnished. It is an North facing property that has been constructed as per Vastu principles. With numerous new-age amenities and green surroundings, this Independent Floor provides a convenient lifestyle for residents. A spacious house for your family, this unit includes 1 bedroom. There are 2 bathroom and 1 balcony. It has a built-up area of 600 Square feet. The Independent Floo...Read more","8,500",1,600,Independent, Unfurnished ,Krishna Nagar, Yousufguda
80,"GR Reddy Nagar, Kapra,Hyderabad",Commercial property ,"40,000",5,2500,Flat, Unfurnished ,GR Reddy Nagar, Kapra
81,"Vajra Jasmine County,Financial District, Nanakaramguda,Hyderabad",NA,"32,000",3,1740,Flat, Semi Furnished ,Vajra Jasmine County, Nanakaramguda
82,"NBT Nagar, Banjara Hills,Hyderabad","It is a spacious,Unfurnished 2 BHK Independent Floor. Sprawling property available at affordable rent in Banjara Hills. Mid-segment homes for rent now in Hyderabad. The property is on the floor number 1 in a building which has 3 floors. Fabulous property available for rent at an affordable price of Rs 14000. One month's rent, which is Rs 28000, will be collected as security charges. This is a beautiful, spacious 500 sq ft built up area property available within your price range. This property is ready to move in from 2020-11-11. Rental property available at affordable prices, check 23 pictures...Read more","14,000",2,500,Independent, Unfurnished ,NBT Nagar, Banjara Hills
